name,category,contraindications,description,drugInteractions,duration,effects,id,intensity,legalStatus,mechanismOfAction,onset,pharmacokinetics,preparation,region,scientificName,sideEffects,tags,therapeuticUses,toxicity,toxicityLD50,activeConstituents,affiliateLink,slug,compounds,sources,needsReview,image,safetyRating,dosage,commonNames,activeCompounds,traditionalUse
"Valeriana jatamansi","Sedative / Anxiolytic","Pregnancy","Indian valerian used similarly to V. officinalis","Sedatives","4-6 hrs","calming;sleep","valeriana-jatamansi","Unknown","Legal","Sesquiterpenes like valeranon interact with GABA","30 min","Oral","Root decoction or powder","India","Valeriana jatamansi","Drowsiness","🌿 root","Insomnia, anxiety","Low","Not established","[object Object]","","valeriana-jatamansi","Valeranon","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4046171/;Ayurvedic Pharmacopoeia of India;Plants of the Gods – Rätsch","false",,,"1-3 g root",,,
"Valerian","Sedative / Sleep Aid / Nervine","Avoid mixing with alcohol, sedatives, or heavy machinery. Not advised during pregnancy without guidance.","A strong-smelling root long used as a natural sedative and anxiety aid. Valerian is commonly included in sleep teas, tinctures, and stress blends.","Additive with CNS depressants, benzodiazepines, barbiturates, and alcohol.",,"Sleep induction;Calm;Anxiety reduction;Muscle relaxation","valeriana-officinalis","Mild–Moderate","Legal worldwide","Acts on GABA-A receptors via valerenic acid and other sesquiterpenes. May inhibit GABA breakdown and modulate serotonin and adenosine.","30–90 min","Orally active. Onset ~30–90 min. Effects last ~4–6 hrs. Metabolized in the liver.","Dried root used in teas, tinctures, capsules, or extracts. Often blended with hops, lemon balm, or passionflower.","Europe, Western Asia, North America (cultivated)","Valeriana officinalis","Drowsiness, vivid dreams, headache, GI upset. Rare paradoxical stimulation.","💤 Sedative;🧘 Nervine;🌿 Sleep aid;🛌 Relaxation","Used for insomnia, nervousness, anxiety, muscle tension, and restlessness. May reduce time to fall asleep and improve sleep quality.","Low. Well tolerated in most users.",">3000 mg/kg (rats, oral)",,,"valeriana-officinalis",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4394901/;Herbal Medicine – Mills & Bone;British Herbal Pharmacopoeia","false",,,,,,
"Himalayan Valerian","Sedative / Nervine / Ayurvedic","Avoid with CNS depressants or alcohol. Caution in pregnancy and hypotension.","A potent aromatic root used in Ayurveda as a tranquilizing agent. It has a similar but stronger scent and effect profile compared to European valerian. Known locally as Tagar Ganthoda.","Potentiates sedatives, hypnotics, benzodiazepines.",,"Sleep aid;Mental calm;Muscle relaxant;Tranquilizer","valeriana-wallichii","Moderate–Strong","Legal worldwide","Valerenic acid and valepotriates modulate GABA-A receptors, decreasing nervous excitability. Sedative effects supported by sesquiterpenes and lignans.","45–90 min","Orally active. Onset ~45–90 min. Duration ~6 hrs. Slightly stronger than other valerian species.","Root powder, decoction, or tincture. Often blended with ashwagandha or jatamansi.","Himalayas, Nepal, India","Valeriana wallichii","Drowsiness, grogginess, or GI upset. Possible paradoxical excitement.","🛏️ Sedative;🧘 Calm;🌿 Ayurvedic;🪵 Root","Used for insomnia, epilepsy, anxiety, muscle spasms, and stress-induced hypertension.","Low–Moderate","Not well documented",,,"valeriana-wallichii",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3679533/;Indian Journal of Pharmacognosy;Plants of the Gods – Rätsch","false",,,,,,
"Mullein","Respiratory / Demulcent / Anti-inflammatory","None significant. Avoid inhaling loose hairs.","A tall, fuzzy-leaved plant with bright yellow flowers, mullein is a classic remedy for respiratory complaints. Its soft leaves and flowers are demulcent, soothing inflamed tissues and promoting gentle expectoration.","None known.",,"Lung soothing;Cough relief;Anti-inflammatory;Mucus clearing","verbascum-thapsus","Mild","Legal worldwide","Saponins and mucilage coat and soothe mucous membranes, while flavonoids and iridoids reduce inflammation and stimulate immune response.","20–60 min","Orally or smoked. Onset 20–60 min. Duration several hours. Best used consistently for chronic conditions.","Tea from dried leaves/flowers, infused oil, or smoked in respiratory blends. Strain well to remove tiny hairs.","Europe, naturalized in Americas and Asia","Verbascum thapsus","Very mild; possible GI upset if taken in large quantities. Fuzzy hairs may irritate throat if not properly strained.","🫁 Lung herb;🩹 Soothing;🌼 Flower remedy;🍵 Tea","Used for dry cough, bronchitis, sore throat, asthma, earaches (flower oil), and inflammation of lungs and throat.","Very low","Not established; widely regarded as safe",,,"verbascum-thapsus",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8010964/;Plants of the Gods – Rätsch;British Herbal Compendium","false",,,,,,
"Blue Vervain","Nervine / Relaxant / Digestive–Emotional","Avoid during pregnancy due to potential uterine stimulation.","A native North American vervain with bitter, calming properties. Traditionally used by Indigenous and Eclectic physicians for tension, insomnia, and digestive sluggishness tied to anxiety.","May enhance effects of sedatives or antispasmodics.",,"Stress relief;Mood regulation;Tension release;Digestive stimulation","verbena-hastata","Mild–Moderate","Legal worldwide","Iridoid glycosides (verbenalin) and bitter principles act as mild GABA modulators and cholagogues, relaxing the nervous system while aiding digestion.","30–60 min","Orally active. Onset ~30–60 min. Best effects with consistent use over days or weeks.","Tea or tincture of aerial parts, often combined with skullcap or lemon balm.","North America","Verbena hastata","Possible nausea due to bitterness. Rare allergic reaction.","🧘 Nervine;🌿 Bitter;💤 Sedative;🌾 Native American","Used for nervous tension, stress headaches, insomnia, grief, indigestion, and menstrual discomfort. Especially useful for 'overthinkers'.","Low","Not well established; widely regarded as safe",,,"verbena-hastata",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8052706/;Eclectic Materia Medica – Felter;Plants of the Gods – Rätsch","false",,,,,,
"Verbena officinalis","Mild Sedative","Pregnancy","Common vervain valued for gentle calming","None known","1-3 hrs","relaxation;digestive aid","verbena-officinalis","Unknown","Legal","Iridoid glycosides like verbenalin may influence GABA","30 min","Oral infusion","Herb infused as tea","Europe","Verbena officinalis","Rare GI upset","🌿 tea","Tension, digestion","Low","Not established","[object Object]","","verbena-officinalis","Verbenalin","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6520897/;British Herbal Pharmacopoeia;Plants of the Gods – Rätsch","false",,,"2-3 g dried","Vervain","Verbenalin","Used in European folk medicine for anxiety and dreaming."
"Cramp Bark","Antispasmodic / Uterine Tonic / Nervine","Avoid during pregnancy unless directed by a practitioner. May cause hypotension in sensitive individuals.","A classic herbal remedy used for centuries to relieve muscular and menstrual cramping. Cramp bark calms smooth muscles, especially in the uterus and digestive tract.","May enhance effects of muscle relaxants or sedatives.",,"Muscle relaxation;Menstrual relief;Sedative;Uterine support","viburnum-opulus","Mild–Moderate","Legal worldwide","Contains viburnin, salicin, and valerenic acid-like compounds that act as antispasmodics and mild sedatives, likely via GABA modulation and smooth muscle relaxation.","30–45 min","Orally active. Onset ~30–45 min. Duration ~4–6 hrs. Used as whole bark or tincture.","Dried bark in decoction or tincture form. Often used in uterine calming formulas with black haw.","Europe, North America","Viburnum opulus","Mild drowsiness or GI upset. Rare allergic responses.","🩸 Menstrual;🧘 Nervine;🪵 Bark remedy;💤 Sedative","Used for dysmenorrhea, muscle spasms, back pain, nervous tension, and sometimes asthma-related tension.","Low","Not well established; safe in traditional doses",,,"viburnum-opulus",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5487595/;British Herbal Pharmacopoeia;Plants of the Gods – Rätsch","false",,,,,,
"Lesser Periwinkle","Cognitive / Circulatory / Alkaloid-Based","Avoid in hypotension, pregnancy, or with anticoagulants.","A low-growing evergreen plant whose alkaloid-rich leaves are used for memory, focus, and circulatory enhancement. Related to the nootropic vinpocetine.","May interact with blood thinners, vasodilators, or antihypertensives.",,"Cognitive enhancement;Vasodilation;Memory support;Cerebral blood flow","vinca-minor","Mild–Moderate","Regulated or restricted in some regions due to alkaloid content","Contains vincamine, a vasodilatory alkaloid that improves cerebral blood flow. Vinpocetine, a semi-synthetic derivative, is used in neuroprotection studies.","30–60 min","Orally active. Onset ~30–60 min. Peak ~1.5 hrs. Liver metabolism. Half-life ~2–3 hrs.","Leaf tea or tincture (low dose); vinpocetine derived from vincamine via chemical modification.","Europe, cultivated globally","Vinca minor","Low blood pressure, headache, or GI upset possible. Excess may cause hypotension or bradycardia.","🧠 Cognitive;💉 Circulatory;🌿 Nootropic;⚠️ Alkaloid-based","Used for cognitive decline, tinnitus, dizziness, poor peripheral circulation, and memory support.","Moderate (dose-dependent)","~75 mg/kg (rats, oral)",,,"vinca-minor",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3966305/;Plants of the Gods – Rätsch;Journal of Ethnopharmacology","false",,,,,,
"Sweet Violet","Respiratory / Nervine / Floral Sedative","None known in normal doses. Use caution in salicylate-sensitive individuals.","A fragrant violet flower traditionally used for respiratory and emotional conditions. Offers calming, anti-inflammatory, and mucilaginous support, often in teas or syrups.","Mild anticoagulant effects. May enhance other sedatives slightly.",,"Soothing;Anti-inflammatory;Sleep support;Cough relief","viola-odorata","Mild","Legal worldwide","Contains salicylic acid derivatives, mucilage, and volatile oils. Gently modulates GABA and prostaglandins. Mild expectorant and anti-inflammatory activity.","30–60 min","Orally active. Onset ~30–60 min. Duration 2–4 hrs.","Tea of flowers or leaves; syrups for cough; compresses for skin. Occasionally tinctured.","Europe, Western Asia, North Africa","Viola odorata","Mild; possible skin reaction or GI upset with large doses.","🌸 Floral;🧘 Nervine;🫁 Respiratory;💤 Calming","Used for sore throats, coughs, grief, insomnia, and skin irritation. Can be taken internally or applied topically.","Very low","Not established (safe in folk medicine)",,,"viola-odorata",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7533724/;British Herbal Pharmacopoeia;Plants of the Gods – Rätsch","false",,,,"Sweet Violet","Violine;Methyl salicylate","Used for sleep, coughs, and gentle mood support."
"Viola odorata (Sweet violet)","Dissociative / Sedative","None known in normal amounts; avoid if allergic.","Fragrant violet whose flowers are a mild sedative and expectorant.","Minimal; theoretically additive with CNS depressants.","Unknown","Mild sedative;calming;gentle dreaminess","viola-odorata-sweet-violet","Mild","Legal / Unregulated","Mild central sedative via salicylates and alkaloids; may influence serotonin and prostaglandin pathways.","15-30 min","Taken as tea or syrup; onset ~30 min; short duration.","Tea or syrup","🇪🇺 Europe","Unknown","Very rare; may include mild drowsiness or nausea.","☕ brewable;✅ safe;🌀 dissociation;🧘 sedation","Cough suppressant, mild anxiolytic, anti-inflammatory, gentle sleep aid.","Regarded as very safe in traditional herbalism.","No human LD50 data; extremely low toxicity reported.",,"","viola-odorata-sweet-violet",,,,,"1",,,,
"Heartsease","Nervine / Skin Support / Respiratory","None known. Considered very gentle.","A small wildflower with colorful petals, known traditionally for emotional soothing ('heartsease'), as well as support for skin issues, respiratory inflammation, and mild nervous conditions.","Minimal; theoretical additive effect with anti-inflammatory or sedative herbs.",,"Calming;Anti-inflammatory;Expectorant;Skin soothing","viola-tricolor","Mild","Legal worldwide","Contains flavonoids, salicylates, and mucilage. Modulates inflammatory mediators and has demulcent, expectorant, and nervine effects.","30–60 min","Orally and topically active. Onset ~30–60 min. Duration several hours. Most effective with regular use.","Infusion or tincture of aerial parts; poultice or salve for topical use.","Europe, naturalized elsewhere","Viola tricolor","Very mild; large doses may cause stomach upset or diarrhea.","🌸 Calming;🩹 Skin support;🫁 Expectorant;🧘 Gentle","Used for eczema, cradle cap, dry cough, mild anxiety, and urinary inflammation. Often included in spring tonics.","Very low","Not established; widely used in children",,,"viola-tricolor",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7318715/;British Herbal Pharmacopoeia;Plants of the Gods – Rätsch","false",,,,,,
"Virola spp.","Ethnobotanical / Rare","Mental health disorders, heart issues, MAOI interactions.","Amazonian trees producing DMT-rich resins for shamanic snuffs.","Dangerous with SSRIs, MAOIs, and other serotonergic substances.",,"DMT-containing tree resin","virola-spp","High","Restricted / Controlled","Contains DMT, 5-MeO-DMT, and beta-carbolines; classic tryptamine entheogen profile.","1-3 min","Insufflated or oral with MAOIs; fast onset if smoked or snuffed.","Used in Amazonian snuffs","🇲🇽 Latin America","","Nausea, intense hallucinations, elevated heart rate.","\u26a0\ufe0f Restricted","Used in Amazonian shamanic healing rituals; possible antidepressant potential.","Can be overwhelming; physical toxicity low but psychological risks high.","No established LD50 for DMT in humans; low systemic toxicity at typical doses.",,,"virola-spp",,,,,"1",,,,
"Virola spp.","Ethnobotanical / Rare","Mental health disorders, heart issues, MAOI interactions.","Amazonian trees producing DMT-rich resins for shamanic snuffs.","Dangerous with SSRIs, MAOIs, and other serotonergic substances.","Unknown","DMT-containing tree resin","virola-spp","High","Restricted / Controlled","Contains DMT, 5-MeO-DMT, and beta-carbolines; classic tryptamine entheogen profile.","1-3 min","Insufflated or oral with MAOIs; fast onset if smoked or snuffed.","Used in Amazonian snuffs","🇲🇽 Latin America","Unknown","Nausea, intense hallucinations, elevated heart rate.","⚠️ restricted","Used in Amazonian shamanic healing rituals; possible antidepressant potential.","Can be overwhelming; physical toxicity low but psychological risks high.","No established LD50 for DMT in humans; low systemic toxicity at typical doses.",,"","virola-spp.",,,,,,,,,
"Virola theiodora","Ritual / Visionary","MAOIs, mental health issues","A snuff plant from the Amazon containing DMT and 5-MeO-DMT. Used by Yanomami and other tribes for potent visionary rituals.","MAOIs, antidepressants","20–60 min","Strong visuals;spiritual experiences;disorientation","virola-theiodora","Very strong","DMT controlled in most countries","DMT and 5-MeO-DMT – 5-HT2A agonists","1–3 min","Onset: 1–3 min; Duration: 20–60 min","Bark resin dried and insufflated as snuff","Amazon (Brazil, Venezuela)","Virola theiodora","Nausea, tremors, vomiting","⚠️ vision;🌬️ snuff;🧠 dmt","Shamanic ritual; purging and vision work","High psychological, moderate physical","Unknown",,"","virola-theiodora","DMT;5-MeO-DMT",,"false",,,,"Epena;Virola","5-MeO-DMT;DMT;Bufotenine","Used by Amazonian tribes as a snuff for spiritual rituals."
"Mistletoe","Immunomodulator / Nervine / Traditional European","Avoid in pregnancy, active infection, or autoimmune conditions without supervision. Toxic at high doses.","A sacred plant in ancient Druidic and European traditions, mistletoe has been used both ritually and medicinally for nervous disorders, cancer support, and hypertension. Often associated with peace and protection.","May interfere with immunosuppressants or chemotherapeutics.",,"Immune regulation;Sedation;Nervous system balance;Blood pressure modulation","viscum-album","Moderate","Legal but regulated in some countries","Contains viscotoxins, lectins, and alkaloids that affect immune cells, induce apoptosis, and modulate autonomic nervous system activity. Used in anthroposophic cancer therapy.","Days–weeks","Usually administered subcutaneously or orally. Slow cumulative action. Onset over days to weeks. Long-term protocols typical.","Extracts used in standardized injectable cancer therapies (e.g., Iscador). Traditional tea/tincture use with caution.","Europe, Western Asia","Viscum album","Injection-site inflammation, allergic reactions, or flu-like symptoms possible. Oral use milder but requires caution.","🎄 Nervine;🛡️ Immune;🌿 Cancer therapy;⚠️ Toxic dose window","Used for anxiety, epilepsy, hypertension, and integrative cancer care. Noted for its calming and immune-balancing effects.","Moderate–high (dose-dependent)","~2.5 mg/kg (IV, mice – viscotoxins)",,,"viscum-album",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3201634/;European Medicines Agency;Plants of the Gods – Rätsch","false",,,,,,
"Chaste Tree","Endocrine / Hormonal / Reproductive","Avoid during pregnancy, breastfeeding, or with hormone-sensitive conditions unless guided by a practitioner.","A Mediterranean shrub used traditionally to balance female hormones, regulate menstrual cycles, and support fertility. Also known as Monk’s Pepper due to its historical use in suppressing libido.","May interact with dopamine-related medications or hormone therapies.",,"Hormone regulation;Menstrual cycle balancing;Mood support;Fertility enhancement","vitex-agnus-castus","Mild–Moderate","Legal worldwide","Acts on dopamine D2 receptors to modulate pituitary prolactin levels. Indirectly balances estrogen and progesterone.","Varies (days to weeks)","Orally active. Onset varies from days to weeks depending on hormonal cycle. Most effective with long-term use.","Dried berries as capsules, tincture, or tea. Often standardized to agnuside content.","Mediterranean, Western Asia","Vitex agnus-castus","Mild GI upset, headache, or rash. May alter menstrual cycle timing.","🩸 Hormone balance;♀️ Reproductive;🌿 Fertility;🧘 PMS relief","Used for PMS, breast tenderness, irregular menstruation, PCOS, fertility support, and mild hormonal acne.","Low","Not well established; traditionally safe",,,"vitex-agnus-castus",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6275797/;British Herbal Compendium;Plants of the Gods – Rätsch","false",,,,,,
"Five-Leaved Chaste Tree","Anti-inflammatory / Respiratory / Analgesic","Avoid during pregnancy unless prescribed. Caution in liver conditions.","A traditional Ayurvedic and Siddha herb used for joint pain, respiratory disorders, and menstrual issues. Though related to Vitex agnus-castus, its actions differ and it is widely used in South and Southeast Asia.","May interact with NSAIDs or dopaminergic agents.",,"Pain relief;Anti-inflammatory;Respiratory support;Menstrual regulation","vitex-negundo","Mild–Moderate","Legal worldwide","Flavonoids, alkaloids, and iridoid glycosides modulate prostaglandins, inhibit COX enzymes, and relax bronchial muscles. Some dopaminergic modulation noted.","1–2 hrs","Orally or topically active. Onset ~1–2 hrs. Duration several hours. Cumulative with consistent use.","Decoction, leaf poultice, seed oil, or standardized extract. Common in polyherbal formulas.","India, Southeast Asia","Vitex negundo","Well tolerated. High doses may cause mild stomach upset or dizziness.","🌿 Ayurvedic;🔥 Anti-inflammatory;🫁 Respiratory;🧘 Analgesic","Used for rheumatism, asthma, cough, sinusitis, fever, and gynecological conditions. Also used topically for wounds and inflammation.","Low","Not well established; considered safe in traditional doses",,,"vitex-negundo",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6267229/;Indian Journal of Traditional Knowledge;Plants of the Gods – Rätsch","false",,,,,,
"Grape Seed","Antioxidant / Cardiovascular / Nootropic Adjunct","Caution in bleeding disorders or with anticoagulants.","Extracted from the seeds of red grapes, this compound is rich in oligomeric proanthocyanidins (OPCs) — potent antioxidants shown to support circulation, reduce inflammation, and protect cellular integrity.","May enhance effect of blood thinners or antihypertensives.",,"Vascular support;Free radical scavenging;Skin protection;Cognitive enhancement (adjunct)","vitis-vinifera","Mild–Moderate (non-psychoactive)","Legal worldwide","OPCs reduce oxidative stress, inhibit inflammatory enzymes (like COX-2), and strengthen collagen and capillaries. Also modulates nitric oxide and enhances endothelial function.","2–6 hrs","Orally active. Onset within hours. Half-life: ~6 hrs. Best absorbed with food or lipids.","Standardized extract (usually 95% OPCs) in capsule or powder. Not psychoactive, but highly bioactive.","Mediterranean, global cultivation","Vitis vinifera (seed)","Mild GI upset, headache, or dizziness possible. Rare allergic responses.","🍇 Antioxidant;🩸 Circulation;🧠 Brain support;🌿 Nootropic ally","Used for varicose veins, cardiovascular protection, cognitive longevity, eye health, and skin aging. May help mitigate nootropic stimulant stress.","Low","~5000 mg/kg (rats, oral)",,,"vitis-vinifera",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6164840/;Journal of Medicinal Food;European Medicines Agency","false",,,,,,
"Voacanga africana","Ritual / Visionary","Heart conditions, psychiatric disorders","A powerful African plant containing voacangine and iboga alkaloids. Used traditionally in ritual contexts and studied as a potential ibogaine precursor.","Avoid all stimulants, antidepressants, MAOIs","6–12 hrs","Stimulation;psychedelic effects;cardiovascular activation","voacanga-africana","Strong","Unscheduled; may be regulated for alkaloids","Voacangine is a prodrug to ibogaine (NMDA antagonist, serotonin transporter blocker)","30–90 min","Onset: 30–90 min; Duration: 6–12 hrs","Bark decoction or purified alkaloids; high potency","West Africa","Voacanga africana","Vomiting, overstimulation, visual distortions","⚠️ caution;🌍 african;🧠 vision","Experimental use in addiction therapy (via ibogaine synthesis)","High in overdose; cardiotoxic potential","~90–120 mg/kg (est. voacangine)",,"","voacanga-africana",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4181566/;Plants of the Gods – Rätsch;Voacanga africana: Ethnobotany and Chemistry – J Ethnopharmacol, 2014","false","https://upload.wikimedia.org/wikipedia/commons/d/d2/Voacanga_africana_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-147.jpg",,,,,
"White Lily","Oneirogen","Pregnancy","Related to Blue Lotus, this sacred flower from Mesoamerican traditions is used to promote meditation and lucid dreaming.","Avoid CNS depressants","2–4 hrs","Calm;light sedation;dream potentiation","white-lily","Mild","Legal","Contains aporphine alkaloids (dopamine agonist)","20–40 min","Onset: 20–40 min; Duration: 2–4 hrs","Soaked in wine, steeped as tea, or smoked","Mexico, Central America","Nymphaea ampla","Drowsiness, vivid dreams","✅ safe;🌸 calm;🌿 sedative","Relaxation, aphrodisiac, dream enhancement","Low","Not established",,"","white-lily",,,,,,,,,
"White Sage","Ritual / Visionary","Asthma, pregnancy, respiratory disorders.","Aromatic sage revered for cleansing rituals and mental clarity.","None significant documented.","Unknown","Clarity;purification;spiritual reset","white-sage","Mild","Legal / Unregulated","1,8-Cineole and α-thujone inhibit pro-inflammatory cytokines (TNFα, IL-1β) and arachidonic acid metabolism; antimicrobial and antiviral effects via NF-κB inhibition [0, 19, 0, 4].","5-20 min","Inhaled or topical; rapid local absorption; systemic exposure minimal; metabolites excreted renally [0, 4].","Burned as incense","🌐 Global / Ritual","Unknown","Respiratory irritation, asthmatic exacerbation, headaches at high exposure [0, 19].","✅ safe;🔮 ritual;🕯️ ritual;🧠 cognitive","Smudging rituals for purification, antimicrobial, respiratory support, mental clarity [0, 19].","Very low; excessive inhalation may cause dizziness or nausea [0, 4].","Unknown",,"","white-sage",,,,,"1",,,,
"Wild Dagga","Relaxant / Euphoric","Avoid during pregnancy or with heart conditions.","Orange-flowered shrub also called lion’s tail; smoked traditionally for mild cannabis-like effects.","May potentiate other sedatives","1–3 hrs","Mild euphoria;relaxation","Unknown","Mild","Legal","Contains leonurine; may act on serotonin and cannabinoid receptors.","Minutes","Smoked or brewed; onset within minutes; duration ~1–3 hrs.","Dried leaves or flowers smoked or brewed as tea.","Southern Africa","Leonotis leonurus","Dry mouth, slight dizziness","🌿 smoke;🦁 dagga","Folk remedy for coughs, fever and as a mild psychoactive when smoked.","Low; high doses may cause dizziness or nausea.","Not established",,"","wild-dagga",,,,"https://upload.wikimedia.org/wikipedia/commons/2/2a/Leonotis_leonurus.jpg",,,,,
"Wild Lettuce","Dissociative / Sedative","Pregnancy, CNS depressants","Leafy plant exuding sedative latex historically called 'lettuce opium.'","Avoid with sedatives, opioids","3–6 hrs","Sedation;pain relief;light euphoria","wild-lettuce","Mild to moderate","Legal","Lactucin and lactucopicrin may act as acetylcholinesterase inhibitors","30–60 min","Onset: 30–60 min; Duration: 3–6 hrs","Tincture, dried leaf tea, smoked","Europe, North America","Lactuca virosa","Drowsiness, nausea at high doses","✅ safe;🌿 herbal;😴 sedative","Insomnia, pain relief, cough suppression","Low in traditional doses","Not established",,"","wild-lettuce",,,,"https://upload.wikimedia.org/wikipedia/commons/1/13/Lactuca_virosa_002.JPG","1",,,,
"Ashwagandha","Adaptogen / Nervine / Endocrine Support","Avoid with hyperthyroidism, sedative medications, or during pregnancy without supervision.","One of the most revered herbs in Ayurveda, Ashwagandha is a potent adaptogen used to reduce stress, improve sleep, and balance the nervous and endocrine systems. Often called 'Indian Ginseng'.","May enhance effects of sedatives, thyroid meds, or immunosuppressants.",,"Stress reduction;Cortisol regulation;Sleep support;Cognitive enhancement","withania-somnifera","Mild–Moderate","Legal worldwide","Withanolides modulate the hypothalamic-pituitary-adrenal (HPA) axis, lower cortisol, reduce oxidative stress, and improve GABAergic signaling.","1–2 weeks (chronic); mild calm within 1–2 hrs (acute)","Orally active. Onset within days to weeks for full adaptogenic effects. Peak plasma levels ~1–2 hrs after ingestion.","Root powder taken as capsules, teas, or mixed into milk. Extracts often standardized to withanolides.","India, Middle East, North Africa","Withania somnifera","Mild GI upset or drowsiness. Rare headaches or allergic reactions.","🧘 Adaptogen;💤 Sleep;🧠 Brain support;🌿 Ayurvedic","Used for anxiety, fatigue, insomnia, adrenal support, libido, thyroid balance, and immune modulation.","Very low. High doses may affect thyroid hormone levels.",">5000 mg/kg (rats, oral)",,,"withania-somnifera",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6979308/;Herbal Medicine – Mills & Bone;Indian Journal of Psychological Medicine, 2012","false",,,,,,
"Withania somnifera (Ashwagandha)","Dissociative / Sedative","Pregnancy, hyperthyroidism, autoimmune diseases [0, 1].","Indian nightshade root that reduces stress hormones and promotes sleep.","Immunosuppressants, sedatives, thyroid medications [0, 24].","Unknown","Grounded calm;dream support","withania-somnifera-ashwagandha","Mild","Legal / Unregulated","Modulates GABAergic and serotonergic activity; reduces cortisol; withanolides are primary active compounds.","30-60 min","Oral onset 30–60 min; withanolides bioavailable; hepatic metabolism; renal excretion [0, 17].","Tea or capsule","🇮🇳 India","Unknown","GI upset, drowsiness, rare thyroid hormone changes [0, 9].","☕ brewable;✅ safe;🌀 dissociation;💊 oral;🧘 sedation","Adaptogen, anti-stress, anxiolytic, neuroprotective, anti-inflammatory, immune support [0, 1, 0, 17].","Low; well-tolerated in clinical studies [0, 1].","LD50 (rats, oral) ~4650 mg/kg; relatively low acute toxicity.",,"","withania-somnifera-ashwagandha",,,,,"1",,,,
"Wormwood","Oneirogen","Pregnancy, epilepsy, high doses","Key ingredient in absinthe. Contains thujone, which is a GABA_A antagonist and neurostimulant in high doses. Historically used for dreaming, digestion, and ritual.","Avoid alcohol, CNS drugs","4–6 hrs","Lucid dreams;stimulating;mental clarity","wormwood","Mild to moderate","Restricted in high-thujone formulations","Thujone – GABA_A receptor antagonist","30–60 min","Onset: 30–60 min; Duration: 4–6 hrs","Tincture, tea, or absinthe-style extract","Europe, Asia, North America","Artemisia absinthium","Headache, nausea, tremors at high doses","⚠️ caution;🌙 dream;🌿 bitter","Digestive tonic, dream work, antiparasitic","Neurotoxic in large doses","~30 mg/kg (thujone)","[object Object]","","wormwood",,,,"https://upload.wikimedia.org/wikipedia/commons/e/e5/Artemisia_absinthium_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-009.jpg",,,,,
"Grains of Selim","Spice / Respiratory / Afro-Caribbean Traditional","Avoid in pregnancy unless under traditional guidance due to uterine stimulant effect.","A spicy fruit used in West African and Caribbean cuisine and medicine. Traditionally employed to treat respiratory and digestive issues, and as a warming tonic for colds and fatigue.","Minimal. May interact with stimulants or other warming agents.",,"Warming;Decongestant;Digestive aid;Mild stimulant","xylopia-aethiopica","Mild–Moderate","Legal worldwide","Contains volatile oils (e.g. eugenol, β-pinene) that have antimicrobial, warming, and stimulant actions. May stimulate mucous clearance and circulation.","15–45 min","Orally active. Onset within 15–45 min. Effects last several hours depending on dose/form.","Fruits smoked, crushed, or boiled in decoctions or stews. Sometimes added to snuff or topical blends.","West Africa, Caribbean","Xylopia aethiopica","In large doses may cause stomach irritation or overstimulation.","🌶️ Spice;🌬️ Decongestant;🌿 Afro-Caribbean;🫖 Traditional tonic","Used for coughs, bronchitis, gas, malaria prevention, postpartum recovery, and flavoring food and medicine.","Low at culinary or traditional doses","Not well documented",,,"xylopia-aethiopica",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8736103/;Journal of Ethnopharmacology;Plants of the Gods – Rätsch","false",,,,,,
"Yarrow","Sedative / Analgesic","Pregnancy, Asteraceae allergy","Common meadow herb with mild soothing effects.","May enhance sedatives","2-4 hrs","relaxation;pain relief","achillea-millefolium","Unknown","Legal","Sesquiterpene lactones like chamazulene reduce inflammation and may calm nerves","30 min","Tea absorbed within 30 min","Flowering tops brewed as tea or tincture","Northern Hemisphere","Achillea millefolium","Allergic reactions in some","🌼 flower;😊 mild","Digestive aid, wound healing, relaxation","Low","~1.3 g/kg (rats, extract)","[object Object];[object Object]","","yarrow",,,,,,"2-4 g dried herb",,,
