Name,Scientificname,Region,Description,Effects,Mechanismofaction,Therapeuticuses,Sideeffects,Contraindications,Druginteractions,Toxicity,Legalstatus,Preparation,Onset,Intensity,Sources,Activecompounds,name_norm
Rhodiola rosea,Rhodiola rosea,"Siberia, Altai, Mongolia",Adaptogenic root used for spiritual endurance and visionary resilience by shamans.,"Mental clarity, stamina, subtle mood enhancement","Increases serotonin, dopamine; modulates HPA axis","Fatigue, depression, high-altitude stress","Irritability, insomnia (high doses)",Bipolar disorder,"Stimulants, antidepressants",Low,Legal,Root tincture or tea,30–60 min,Mild,"Tibetan and Russian pharmacognosy, shamanic records","Rosavin, salidroside",
Scutellaria baicalensis,Scutellaria baicalensis,"Siberia, Mongolia, China","Also known as Baikal skullcap, used in calmative rituals and mind-clearing practices.","Sedation, reduced anxiety, dream enhancement",Baicalin modulates GABA-A receptors,"Anxiety, inflammation, epilepsy, spiritual purification",None significant in moderate use,CNS depressants,"Sedatives, alcohol",Low,Legal,Root powder in teas or tinctures,30–60 min,Mild,"Mongolian herbal compendia, TCM cross-referencing","Baicalin, wogonin",
Virola theiodora,Virola theiodora,"Colombia, Brazil, Amazon",Bark and resin used in snuffs to produce DMT-induced visions among Yanomami and Tukanoan tribes.,"Strong visionary state, dizziness, euphoria",5-MeO-DMT and DMT active via nasal mucosa,"Healing, prophecy, spiritual insight","Nausea, sensory overload, tremors","Psychosis, cardiovascular issues","MAOIs, CNS drugs",Moderate (high dose danger),Restricted (DMT-related),Resin dried and powdered for snuff,1–5 min (snuff),Very strong,"Schultes (Amazon ethnobotany), MAPS","DMT, 5-MeO-DMT",
Brunfelsia grandiflora,Brunfelsia grandiflora,Upper Amazon,"Used in Ayahuasca admixtures for spiritual purification, visions, and body clearing.","Emesis, dreamlike states, cleansing",Contains scopoletin and possibly tropane alkaloids,"Rheumatism, fever, spiritual healing","Strong emesis, disorientation","Pregnancy, heart issues","MAOIs, anticholinergics",Moderate,Legal but potentially toxic,Added in Ayahuasca brews,Varies (combined),Moderate to high,"South American ethnomedicine, UDV accounts","Scopoletin, brunfelsamidine",
Tabernanthe iboga,Tabernanthe iboga,"Central Africa, Gabon, Congo","Root bark central to Bwiti spiritual initiation, offering deep introspection and visions.","Intense visions, insight, motor disturbance","Ibogaine modulates NMDA, serotonin, kappa-opioid, and sigma receptors","Addiction treatment, spiritual crises","Cardiotoxicity, nausea, tremors","Heart disease, psychiatric instability","MAOIs, stimulants",High (clinical caution),Banned or restricted in many countries,"Shaved root bark, chewed or decocted",1–2 hrs,Very high,"Bwiti ethnography, ibogaine therapy studies","Ibogaine, ibogaline, tabernanthine",
Silene undulata,Silene undulata,South Africa (Xhosa culture),Dream-inducing root used in divination and ancestral contact during sleep.,"Lucid dreams, increased dream recall, mild euphoria",Likely saponin-induced acetylcholine modulation,"Dream healing, spirit guidance",Mild nausea (rare),None known (ritual doses),None significant,Low,Legal,Root decoction before sleep,Several hours (sleep onset),Mild,"Xhosa dream rituals, African ethnobotany",Triterpenoid saponins,
Entada rheedii,Entada rheedii,"West Africa, Southern Africa",Large seeds used in dreamwork and spiritual protection; smoked or worn in amulets.,"Dream enhancement, mild hallucinations (smoked)",Not fully known; possible alkaloid content,"Dream work, spiritual shielding",None documented,Unknown,Unknown,Low (ritual use),Legal,Seeds smoked or worn; infusions less common,10–30 min,Mild,"Zulu ethnobotany, spiritual herbalism",Uncertain (alkaloid suspected),
Sida cordifolia,Sida cordifolia,"Sub-Saharan Africa, also India",Used as a stimulant and aphrodisiac in African herbal traditions; contains ephedrine-like alkaloids.,"Stimulation, increased energy, mood boost",Ephedrine-like alkaloids act on adrenergic receptors,"Fatigue, asthma, libido enhancement","Elevated heart rate, anxiety","Hypertension, heart conditions","MAOIs, stimulants",Moderate (dose dependent),Regulated in some countries,Leaf decoction or powder,20–40 min,Moderate,"African herbal medicine texts, WHO monographs","Ephedrine, vasicinone",
Cannabis sativa (African varieties),Cannabis sativa,"Africa (Morocco, Egypt, South Africa)","Used in spiritual trance, communal rituals, and healing by Berbers, Sufis, and other groups.","Euphoria, altered perception, introspection",THC and other cannabinoids bind CB1/CB2 receptors,"Relaxation, pain relief, divinatory insight","Anxiety, dry mouth, paranoia","Psychosis, pregnancy","CNS depressants, alcohol",Low,Varies globally,"Smoked, ingested, infused in oils",5–30 min,Mild to high,"North African ethnography, Sufi ritual use, Rastafarian history","THC, CBD, terpenes",
Datura wrightii,Datura wrightii,Southwestern North America,"Used in Native American rites for visions, initiation, and divination; highly toxic.","Intense delirium, hallucinations, dissociation",Tropane alkaloids block acetylcholine receptors (anticholinergic),Rarely therapeutic due to toxicity; spiritual use for transformation,"Delirium, amnesia, hyperthermia, possible death",All unsupervised use; heart and cognitive conditions,"Anticholinergics, antipsychotics",Very high,Regulated or banned in many areas,"Dried flower or seeds smoked, brewed (dangerous)",30–90 min,Very high,"Chumash and Yaqui ethnobotany, toxicology studies","Scopolamine, hyoscyamine, atropine",
Lobelia inflata,Lobelia inflata,Eastern North America,Used historically as a sacred tobacco substitute and for spiritual cleansing by Cherokee and other tribes.,"Respiratory stimulation, altered consciousness (in high doses)",Lobeline acts on nicotinic receptors and dopamine systems,"Asthma, addiction, nervous system conditions","Nausea, vomiting, respiratory effects","Pregnancy, respiratory diseases (large doses)","Nicotine, CNS stimulants",Moderate,"Legal, some restrictions","Smoked, infused in teas (low dose)",10–20 min,Mild to moderate,"Cherokee medicine, early American herbalism","Lobeline, isolobeline",
Erythrina flabelliformis,Erythrina flabelliformis,"Arizona, New Mexico, Northern Mexico",Coral bean used by Native groups for dreams and spiritual rituals; seeds and bark sedative.,"Sedation, altered dream states, hallucinations (higher doses)",Erythrinian alkaloids with central nervous system depressant effects,"Anxiety, insomnia (traditional), ritual dreaming","Paralysis, respiratory suppression in high doses","Sedative use, CNS depression","Sedatives, alcohol",High,Unregulated,Seeds used with caution; bark decoctions,30–60 min,Moderate to high,"Southwest ethnobotany, UNM archives","Erythravine, hypaphorine",
Artemisia ludoviciana,Artemisia ludoviciana,Great Plains and Southwest U.S.,"Sacred smudging plant used in ceremonies, dream enhancement, and to ward spirits.","Mild euphoria, dream enhancement, cleansing sensations",Sesquiterpene lactones may act on GABA and other CNS receptors,"Fever, digestive issues, spiritual cleansing",Mild sedation,None at ritual doses,Sedatives (potentiation),Low,Legal,"Burned as incense, brewed",Immediate (smoke),Mild,"Lakota and Apache traditions, herbal texts","Camphor, borneol, thujone",
Ceanothus integerrimus,Ceanothus integerrimus,"Western U.S. (California, Oregon)",Used in vision quests and sweat lodge purification; mild stimulant and blood cleanser.,"Energy lift, mental clarity, subtle altered awareness",Polyphenols and alkaloids with central nervous system activity,"Cleansing, spiritual clarity, detoxification",None known at traditional use levels,Unknown,Unknown,Low,Legal,"Leaf infusion, decoction",15–30 min,Mild,"Pomo and Maidu herbalism, California ethnobotany","Ceanothine, tannins, alkaloids",
Nardostachys jatamansi,Nardostachys jatamansi,"Himalayas (India, Nepal, Tibet)","Used in Tibetan and Ayurvedic medicine for mental clarity, sleep, and spiritual rituals.","Tranquility, lucid dreaming, mild euphoria",Valerenic acid–like compounds act on GABA receptors,"Anxiety, insomnia, spiritual grounding",Drowsiness in high doses,"Sedative use, pregnancy",CNS depressants,Low,Legal,Root decoction or powder,30–60 min,Mild to moderate,"Tibetan materia medica, Ayurvedic pharmacopeia","Jatamansone, valeranone",
Delphinium brunonianum,Delphinium brunonianum,High-altitude Himalayas,Used in Tibetan medicine and shamanic ceremonies for purification and pain relief.,"Mild analgesia, spiritual 'cleansing'",Alkaloids may affect muscarinic or nicotinic receptors,"Pain relief, nerve issues, ceremonial purging",Toxic in high doses (paralysis),"Heart problems, pregnancy","Muscle relaxants, CNS agents",Moderate to high,Legal,Infusion (low dose),30–60 min,Mild,"Sowa Rigpa texts, local ethnobotany","Delphinine, lycoctonine",
Artemisia gmelinii,Artemisia gmelinii,"Tibet, Bhutan, Nepal","Used for purification, smudging, and dream enhancement in Buddhist rituals.","Mild sedation, enhanced dream vividness","Monoterpenes, thujone content may interact with GABA/glutamate systems","Spiritual purification, digestion","Sedation, nausea in high doses","Pregnancy, epilepsy",CNS depressants,Low to moderate,Legal,"Burned as incense, infused","Immediate (smoke), 30 min (oral)",Mild,"Himalayan shamanism, Tibetan smudging","Thujone, cineole, camphor",
Dactylorhiza hatagirea,Dactylorhiza hatagirea,"Nepal, Tibet, Himalayas",A sacred orchid used in Ayurvedic and Tibetan healing for stamina and subtle energy.,"Vitality, mild stimulant, aphrodisiac",Mucilage and alkaloids affect endocrine and CNS functions,"Fatigue, libido, vitality, rejuvenation",Unknown in ritual doses,None known (ritual use),Unknown,Low,"Endangered (wild), protected",Dried tuber powder or decoction,30–60 min,Mild,"Ayurvedic Rasayana texts, Himalayan folk healing","Mucilage, bitter principles, alkaloids",
Micromelum minutum,Micromelum minutum,"Southeast Asia, Papua New Guinea, Pacific Islands",Used in Pacific folk medicine and rituals for nervous conditions and altered states.,"Tranquility, dream enhancement",Essential oils with anxiolytic and CNS modulating effects,"Insomnia, stress, traditional cleansing",Unknown in traditional doses,None known,Unknown,Low,Unregulated,Leaf infusions and poultices,30 min,Mild,Melanesian ethnobotanical records,"Essential oils, flavonoids, coumarins",
Rhizophora stylosa,Rhizophora stylosa,"Oceania, Southeast Asia, Micronesia",Mangrove tree used in sacred rituals and plant baths for cleansing and energetic healing.,"Spiritual grounding, mild altered state via ritual context","Tannins and phenolic compounds, symbolic rather than pharmacologic effects","Skin and wound care, ritual purification",None known,None known,None,Very low,Legal,Leaves and bark used in baths or fumigation,N/A (non-ingestive),Symbolic,"Pacific Oceanic ethnobotany, Micronesian healing lore","Tannins, saponins",
Codiaeum variegatum,Codiaeum variegatum,"Polynesia, Micronesia, Southeast Asia",Variegated croton used by shamans in spiritual warfare and trance work; visually potent leaves.,Visionary states (reported in high ritual use),Contains phorbol esters; ritualistic effect more symbolic than pharmacological,"Ritual protection, spiritual defense",Highly toxic if ingested in quantity,Internal use not advised,None (not used internally),High (oral),Ornamental/legal,Used in ritual baths or worn,Immediate (topical ritual use),Moderate (contextual),"Pacific shamanic practices, Samoan healing","Phorbol esters, tannins",
Gastrodia elata,Gastrodia elata,"China, Korea, East Asia",Used in Daoist elixirs and Shen tonics to calm the spirit and promote mental clarity.,"Cognitive clarity, calmness, subtle perception enhancement","Modulates GABAergic neurotransmission, antioxidant effects","Headache, dizziness, epilepsy, spiritual disorders (Shen disturbances)","Rare, mild sedation",None well-documented,Potential with anticonvulsants,Low,Legal,Dried rhizome decoction or pill,30–60 min,Mild,"Shennong Bencao Jing, Daoist alchemy","Gastrodin, vanillin derivatives",
Polygala tenuifolia,Polygala tenuifolia,China,"A Shen tonic herb enhancing cognition, dreams, and emotional stability in Taoist medicine.","Lucid dreaming, cognitive enhancement, calm alertness","Neurotrophic stimulation, acetylcholine regulation","Insomnia, poor memory, emotional instability",GI upset at high doses,Stomach deficiency,"CNS stimulants, sedatives",Low to moderate,Legal,Boiled root or herbal tea,30 min,Mild,"Bencao Gangmu, Daoist herbology","Tenuifolin, polygalacic acid",
Selaginella tamariscina,Selaginella tamariscina,"China, Korea, Southeast Asia",Rare 'resurrection plant' with ceremonial use in Daoist immortality practices.,"Neuroprotective, longevity-enhancing",Flavonoids modulate oxidative and inflammatory pathways,"Vitality, aging, emotional resilience",Unknown,None documented,Unknown,Low,Legal,Powdered or decocted whole plant,45–60 min,Mild,"Daoist inner alchemy, Traditional Chinese Medicine","Biflavonoids, amentoflavone",
Acorus tatarinowii,Acorus tatarinowii,"China, Tibet, Mongolia",Used in Shen harmonizing formulas to open sensory orifices and enhance consciousness.,"Clarity, mild stimulation, dream potentiation","Asarones act on CNS, enhancing neurotransmitter release","Insomnia, foggy mind, epilepsy",High dose: neurotoxicity,"Pregnancy, seizures","Sedatives, stimulants",Moderate,Restricted in some countries due to asarone,Root decoction or powder,15–30 min,Mild to moderate,"Shen Tonic texts, Taoist pharmacopoeia","α-asarone, β-asarone",
Leonurus japonicus,Leonurus japonicus,"China, East Asia",Used in TCM and spiritual gynecology for calming Shen and promoting peace.,"Relaxation, mild altered states during moxibustion or tea",Leonurine modulates GABA and serotonin systems,"Anxiety, restlessness, menstrual issues",None at therapeutic dose,Pregnancy,None known,Low,Legal,"Tea, tincture, moxa bath",20–40 min,Mild,"TCM Shen therapy, Daoist healing","Leonurine, alkaloids, iridoids",
Juniperus sibirica,Juniperus sibirica,"Siberia, Mongolia",Burned in shamanic ceremonies to cleanse and enter altered states; also used in herbal baths.,"Mental clarity, grounding, mild psychoactivity",Essential oils modulate olfactory and limbic systems,"Purification, respiratory relief",Allergic reactions in sensitive individuals,Pregnancy,None known,Low,Legal,"Incense, essential oil, topical",Immediate (inhaled),Mild,Siberian spiritual plant usage,"Terpenes, pinene, sabinene",
Bacopa monnieri,Bacopa monnieri,"India, Nepal, Sri Lanka",Sacred cognitive tonic used in Ayurveda and Tantric meditation practices to enhance memory and consciousness.,"Mental clarity, calm focus, spiritual lucidity",Enhances cholinergic function and antioxidant activity in the brain,"Anxiety, cognitive decline, epilepsy, attention disorders","Mild GI discomfort, fatigue","Bradycardia, thyroid dysfunction","Thyroid meds, sedatives",Low,Legal,"Tea, extract, powder",1–2 weeks of regular use,Mild,"Ayurvedic texts, Tantric sadhana",Bacosides A & B,
Convolvulus pluricaulis,Convolvulus pluricaulis,India,"Revered as a medhya (nootropic) herb in Ayurveda, aiding in spiritual insight and dream clarity.","Tranquility, dream enhancement, clarity",Modulates GABA and acetylcholine systems,"Stress, insomnia, forgetfulness",None common at therapeutic dose,None well documented,May potentiate sedatives,Low,Legal,Tea or paste,30–60 min,Mild,"Ayurvedic texts, Siddha medicine",Shankhapushpine alkaloids,
Nymphaea nouchali,Nymphaea nouchali,"India, Sri Lanka, Southeast Asia",Indian blue lotus with mild psychoactive and aphrodisiac properties used in Tantra and rituals.,"Mild euphoria, altered perception, relaxation",Alkaloids act on dopamine and serotonin receptors,"Anxiety, aphrodisiac, sleep aid",Mild sedation,CNS depressants,Sedatives,Low,Legal,"Infused wine, tea, or smoke",30–60 min,Mild,"Tantric texts, traditional Indian ritual use","Nuciferine, apomorphine",
Datura metel,Datura metel,"India, Nepal",Used in Tantric Aghori rites for visions and communion with spirits; highly toxic.,"Hallucinations, delirium, amnesia","Anticholinergic via scopolamine, atropine","Asthma (smoking), spiritual ritual","Severe toxicity, delirium, psychosis","Heart disease, glaucoma","MAOIs, anticholinergics",High,Restricted in many countries,"Smoked, ritual ingestion (under guidance)",30–90 min,Strong,"Tantric Aghora tradition, Siddha medicine","Scopolamine, atropine, hyoscyamine",
Celastrus paniculatus,Celastrus paniculatus,"India, Southeast Asia","Known as the Intellect Tree, used by sages and students to boost memory and awareness.","Cognitive stimulation, dream clarity","Increases acetylcholine levels, neuroprotective effects","Memory disorders, anxiety, depression",GI upset at high doses,None widely known,"CNS depressants, nootropics",Low,Legal,Seed oil or powdered seed,1–2 days of use,Moderate,"Ayurveda, Vedic rituals","Paniculatine, celastrine",
Lophophora williamsii,Lophophora williamsii,"Southwestern United States, Northern Mexico",Sacred cactus used in Native American Church for spiritual insight and healing.,"Euphoria, visions, introspection, spiritual clarity",Mescaline acts as a serotonin receptor agonist (5-HT2A),"Addiction recovery, depression (traditional use)","Nausea, increased heart rate","Heart conditions, psychiatric instability","SSRIs, MAOIs",Low to moderate,Schedule I (U.S.) with exceptions for religious use,"Consumed raw, dried, or brewed as tea",1–2 hours,Strong,"Native American Church, Huichol tradition",Mescaline,
Salvia divinorum,Salvia divinorum,Mexico (Mazatec people),Sacred herb used in Mazatec divination and healing rituals.,"Intense dissociation, visual and auditory hallucinations",Salvinorin A is a potent kappa-opioid receptor agonist,Potential for addiction and mood disorder research,"Disorientation, fear, dysphoria",Mental health disorders,Unknown,Low,Varies; controlled in some states and countries,Chewed fresh or smoked dried leaves,"Immediate (inhaled), 10–15 min (oral)",Very strong,Mazatec shamanism,Salvinorin A,
Leonotis leonurus,Leonotis leonurus,Southern Africa,Also known as Wild Dagga; smoked by Khoisan and Zulu for mild euphoria and trance states.,"Euphoria, sedation, visual enhancement",May interact with CB1 and opioid receptors,"Coughs, epilepsy, fever (traditional uses)","Dry mouth, dizziness","Pregnancy, CNS conditions",CNS depressants,Low,Legal,"Smoked, tea",15–30 min,Mild to moderate,"Zulu, Khoisan use","Leonurine, marrubiin",
Synaptolepis kirkii,Synaptolepis kirkii,"Southeast Africa (Mozambique, Zimbabwe)",Used in spiritual rituals to induce visionary dreams and contact with ancestors.,"Dream enhancement, trance, mild hallucinations",May affect NMDA and monoaminergic systems,"Neurotonic, spiritual divination",Unknown,Unknown,Unknown,Unknown,Unregulated,Root decoction or paste,30–60 min,Moderate,Traditional African diviners (n'angas),Uncharacterized alkaloids,
Boophone disticha,Boophone disticha,Southern Africa,Used by diviners to enter altered states; highly toxic if not dosed precisely.,"Hallucinations, disorientation, trance",Alkaloids affect acetylcholine and serotonin systems,"Pain, epilepsy, divination (traditional use)","Vomiting, convulsions at high doses","Pregnancy, epilepsy","MAOIs, anticholinergics",High,Unregulated but considered dangerous,Bulb-based preparations in small doses,30–90 min,Strong,Zulu and Sotho traditional use,"Buphanidrine, alkaloids",
Sceletium tortuosum,Sceletium tortuosum,"South Africa (Nama, San)","Also known as Kanna, traditionally chewed for mood elevation and social bonding.","Euphoria, stress relief, social openness",Inhibits serotonin reuptake; PDE4 inhibition,"Depression, anxiety, PTSD","Dry mouth, drowsiness",SSRI use,"SSRIs, MAOIs, CNS depressants",Low,Legal,Chewed fermented leaves or capsules,30–60 min,Moderate,Khoikhoi and San traditional use,"Mesembrine, mesembrenone",
Mitragyna speciosa,Mitragyna speciosa,"Thailand, Malaysia, Indonesia","Leaf used in traditional folk medicine and spiritual rituals for pain, stamina, and mood.","Euphoria, stimulation (low doses), sedation (high doses)",Mitragynine and 7-hydroxymitragynine bind to mu-opioid receptors,"Pain relief, opioid withdrawal, fatigue","Constipation, dependency, nausea","Liver disorders, CNS depressant use","Opioids, benzodiazepines, MAOIs",Moderate,Varies (controlled in some countries),"Chewed, brewed as tea, powdered",30–60 min,Moderate to strong,Thai and Malay folk healers,"Mitragynine, 7-hydroxymitragynine",
Myristica fragrans,Myristica fragrans,"Indonesia, Southeast Asia",Nutmeg used traditionally in spiritual intoxication and dream enhancement rituals.,"Mild hallucinations, euphoria, disorientation",Myristicin and elemicin affect monoamine systems (potential MAOI-like action),"Stimulant, digestive aid (small doses)","Dry mouth, nausea, delirium (high doses)","Epilepsy, mental health disorders","MAOIs, anticholinergics",Moderate to high in high doses,Legal,Ground nutmeg orally ingested,3–6 hours,Mild to strong,Indonesian and Southeast Asian folk traditions,"Myristicin, elemicin, safrole",
Areca catechu,Areca catechu,"Southeast Asia, Pacific Islands, South Asia",Betel nut chewed in ceremonies for stimulation and sociability.,"Mild euphoria, stimulation, warmth",Arecoline acts as a muscarinic receptor agonist,"Digestive aid, traditional stimulant","Stained teeth, oral cancer risk with long-term use","Heart disease, oral health issues","Stimulants, anticholinergics",Moderate (long-term carcinogenic risk),Legal,Chewed with lime and betel leaf,5–15 min,Mild to moderate,"Folk ceremonies in India, Indonesia, Philippines",Arecoline,
Nymphaea caerulea,Nymphaea caerulea,"Southeast Asia, India, Egypt",Sacred blue lotus used in meditative and sensual ceremonies; acts mildly psychoactively.,"Calm, mild euphoria, sensuality enhancement",Apomorphine acts on dopamine receptors; nuciferine on serotonin,"Anxiety, libido, sleep aid","Drowsiness, dizziness (rare)","Pregnancy, CNS depressants","Sedatives, alcohol",Low,Legal,"Infused in wine or tea, smoked",30–60 min,Mild,Indian and Southeast Asian spiritual traditions,"Apomorphine, nuciferine",
Pipturus albidus,Pipturus albidus,"Hawaii, Polynesia",Traditionally used in Hawaiian medicine and spiritual practices for calming and purifying effects.,"Mild sedation, stress relief",Unknown; suspected serotonergic or adaptogenic properties,"Anxiety, blood purification, digestive aid",None known,Unknown,Unknown,Low,Legal,Leaves brewed into tea,20–40 min,Mild,Native Hawaiian herbal traditions,"Uncharacterized flavonoids, phenolics",
Erythrina variegata,Erythrina variegata,"Oceania, Pacific Islands, Southeast Asia",Used traditionally as a sedative and dream aid in Pacific Islander medicine.,"Drowsiness, calming, possible dream enhancement",Alkaloids affect GABAergic systems,"Insomnia, anxiety, spiritual dreaming","Drowsiness, nausea at high doses","CNS depressants, pregnancy","Sedatives, alcohol",Moderate,Legal,Infusion of leaves or bark,30–60 min,Moderate,Fijian and Polynesian traditional healing,"Erythraline, erythravine",
Petiveria alliacea,Petiveria alliacea,"Caribbean, Central America, South America","Known as 'Anamu', used in Obeah and Vodou for cleansing and trance induction.","Mild psychoactivation, anti-anxiety, sedative",Organosulfur compounds and flavonoids modulate neuroinflammation and GABAergic pathways,"Immune modulation, pain, anxiety","Strong odor, nausea (rare)","Pregnancy, lactation","Anticoagulants, sedatives",Low,Legal,Infusion or incense for spiritual use,30–60 min,Mild to moderate,Afro-Caribbean healing and ritual practice,"Sulfur compounds, dibenzyl trisulfide",
Ricinus communis,Ricinus communis,"Caribbean, Africa, tropics worldwide",Castor plant used in protective charms and purgative rituals in Santería and Obeah.,"Purging, somatic cleansing, mild delirium (high dose)",Ricinoleic acid causes intestinal stimulation; ricin is a potent toxin,"Laxative, anti-inflammatory, skin conditions",Severe toxicity if seeds ingested raw (ricin),"Pregnancy, GI inflammation",None established,"High (seeds), low (oil)",Legal with caution,Oil extraction for rituals or topical use,4–6 hours (oral),Moderate to strong,"Obeah, Santería, African diaspora traditions","Ricin, ricinoleic acid",
Quassia amara,Quassia amara,"Caribbean, northern South America","Used in Afro-Caribbean herbal magic and love rituals, sometimes for bitterness-induced trance.","Appetite suppressant, bitterness, mild psychoactivity",Quassinoids interact with bitter taste receptors and neurotransmitter pathways,"Appetite regulation, fever, malaria","Nausea, bitterness","Stomach ulcers, malnutrition",Appetite stimulants,Low to moderate,Legal,Bark or wood infused in water or alcohol,1–2 hours,Mild,Caribbean folk medicine and magical practice,"Quassin, neoquassin",
Aconitum napellus,Aconitum napellus,"Europe, especially Northern and Central",Used in ancient European folk magic and shamanism; extremely toxic plant with psychoactive potential in very small doses.,"Numbness, delirium, dizziness, hallucinations (toxic)",Aconitine affects voltage-gated sodium channels,"Rarely used now due to toxicity; historically for pain, inflammation",Severe cardiac and neurological toxicity,All use in modern contexts; extreme caution,Unknown but possibly with antiarrhythmic drugs,Very high,Restricted or banned in some jurisdictions,Traditionally via ointment; not recommended for ingestion,15–60 min,Strong to lethal,"European witchcraft, druidic, and monastic herbalism","Aconitine, mesaconitine",
Artemisia absinthium,Artemisia absinthium,"Europe, Western Asia",Known as Wormwood; key ingredient in absinthe and traditional European medicine and magical practices.,"Mild euphoria, altered perception, stimulant and relaxant effects",Thujone acts on GABA receptors and possibly cannabinoid receptors,"Digestive stimulant, antiparasitic","Headaches, nausea, nervousness in high doses","Seizure disorders, pregnancy","CNS-active drugs, alcohol",Moderate (due to thujone),Legal with thujone limits,"Infused in alcohol, tinctures, tea",15–45 min,Mild to moderate,European apothecary and absinthe culture,"Thujone, absinthin, flavonoids",
Peganum harmala,Peganum harmala,"Middle East, Central Asia, Iran","Known as Syrian Rue, used in Zoroastrian purification rituals and traditional Iranian healing.","MAO inhibition, mild hallucinations, sedation","Harmala alkaloids (harmine, harmaline) inhibit MAO-A","Antidepressant, anti-parasitic, stimulant","Nausea, vomiting, agitation, hallucinations (high dose)","SSRIs, MAOIs, pregnancy","Serotonergic agents, psychoactives",Moderate,Restricted in some countries,"Seeds smoked, extracted, or brewed",30–60 min,Moderate,"Zoroastrian fire rituals, folk medicine","Harmine, harmaline, tetrahydroharmine",
Papaver somniferum,Papaver somniferum,"Iran, Central Asia, Mediterranean","The opium poppy, used historically in Persian medicine and mystical Sufi practices.","Euphoria, analgesia, sedation",Alkaloids act on opioid receptors,"Pain relief, cough suppressant","Addiction, respiratory depression, constipation","Respiratory illness, liver disease","CNS depressants, alcohol",High (unregulated),Controlled,"Latex collected from pods, processed",10–30 min,Strong,"Persian medicine, ancient apothecaries","Morphine, codeine, thebaine",
Boswellia serrata,Boswellia serrata,"Persia, Arabia, India","Frankincense tree resin, used for spiritual purification and altered states in Zoroastrian and Sufi rituals.","Calming, mild psychoactivity, spiritual upliftment",Modulation of brain inflammation and neurotransmitters via boswellic acids,"Anti-inflammatory, asthma, arthritis",Gastrointestinal upset (rare),Pregnancy (high dose),Anti-inflammatories,Low,Legal,Resin burned or chewed,Immediate (inhaled),Mild,"Zoroastrian temples, spiritual practice","Boswellic acids, incensole acetate",
Tabernaemontana divaricata,Tabernaemontana divaricata,"Southeast Asia, India, Sri Lanka",Frangipani or pinwheel flower used in traditional Southeast Asian spiritual rituals and healing ceremonies.,"Mild sedation, euphoria, muscle relaxation",Indole alkaloids act on GABA and opioid systems,"Anxiolytic, antispasmodic, anti-inflammatory","Mild dizziness, hypotension","Pregnancy, CNS depressants","Sedatives, tranquilizers",Low to moderate,Legal,"Used in teas, incense, sometimes as topical paste",20–40 min,Mild,"Ayurveda, Filipino and Thai folk medicine","Tabersonine, voacangine, coronaridine",
Cananga odorata,Cananga odorata,"Southeast Asia, Micronesia, Polynesia, Melanesia",Ylang Ylang tree whose flowers are used for spiritual cleansing and emotional upliftment in Pacific Island rituals.,"Mood enhancement, mild sedation, relaxation",Essential oils modulate serotonin and dopamine activity,"Aromatherapy, anxiety relief, aphrodisiac",Headache or nausea (in high doses),"Hypotension, sensitivity to fragrances","Sedatives, hypotensives",Low,Legal,Essential oil used via inhalation or topical application,Immediate (aromatherapy),Mild,"Samoan and Tongan ceremonial use, aromatherapy","Linalool, germacrene, caryophyllene",
Angelica archangelica,Angelica archangelica,"Arctic, Northern Europe, Siberia","Known as wild celery or garden angelica, used in Sámi and Norse traditions for spiritual protection and calming effects.","Mild euphoria, warming, digestive aid",Essential oils affect GABAergic pathways and smooth muscle,"Digestive tonic, calming agent, anti-inflammatory","Photosensitivity, dry mouth","Pregnancy, anticoagulants","Blood thinners, diuretics",Low to moderate,Legal,Roots brewed as tea or chewed raw,30–60 min (oral),Mild,"Sámi herbal medicine, Scandinavian folklore","Furanocoumarins, angelicin, phellandrene",
Mucuna pruriens,Mucuna pruriens,"Tropical Africa, India, Caribbean","Velvet bean used traditionally by Yoruba and Igbo for vitality, spiritual enhancement, and aphrodisiac effects.","Mood elevation, alertness, aphrodisiac",High levels of L-DOPA affecting dopamine pathways,"Parkinson’s support, libido booster, stress reduction","Nausea, headache, overstimulation","Pregnancy, schizophrenia","MAOIs, dopamine agonists",Low to moderate (seed hairs can cause irritation),Legal,Roasted seeds ground into powder or decoction,30–60 min,Moderate,Yoruba and Igbo ethnobotany,"L-DOPA, serotonin, bufotenine",
Voacanga africana,Voacanga africana,West and Central Africa,Tree with bark and seeds used in spiritual rituals by Bwiti and others for visions and initiation ceremonies.,"Psychoactive dreams, hallucinations, introspection",Iboga-like alkaloids modulate serotonin and NMDA,"Stimulant, entheogen, antidepressant potential","Dizziness, vomiting, confusion (in high doses)","Heart issues, psychiatric disorders","SSRIs, antipsychotics",Moderate to high at high doses,Restricted in some regions,Bark or seed decoction; sometimes chewed,1–2 hours,Strong,"Bwiti, Yoruba spiritual use","Voacangine, tabersonine, coronaridine",
