id,common,scientific,category,intensity,region,legalstatus,description,effects,mechanismofaction,compound,tags,interactions,contraindications,dosage,therapeutic,safety,sideeffects,toxicity,toxicity_ld50,is_controlled_substance,sources
verbena-officinalis,Vervain,Verbena officinalis,mild sedative,Unknown,europe,Legal,common vervain valued for gentle calming,relaxation;digestive aid,Iridoid glycosides like verbenalin may influence GABA,Verbenalin,🌿 tea,none known,pregnancy,2-3 g dried,"tension, digestion",,rare gi upset,Low,Not established,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6520897/;British Herbal Pharmacopoeia;Plants of the Gods – Rätsch
viburnum-opulus,,Viburnum opulus,antispasmodic / uterine tonic / nervine,Mild–Moderate,"europe, north america",Legal worldwide,"a classic herbal remedy used for centuries to relieve muscular and menstrual cramping. cramp bark calms smooth muscles, especially in the uterus and digestive tract.",Muscle relaxation;Menstrual relief;Sedative;Uterine support,"Contains viburnin, salicin, and valerenic acid-like compounds that act as antispasmodics and mild sedatives, likely via GABA modulation and smooth muscle relaxation.",,🩸 menstrual;🧘 nervine;🪵 bark remedy;💤 sedative,may enhance effects of muscle relaxants or sedatives.,avoid during pregnancy unless directed by a practitioner. may cause hypotension in sensitive individuals.,,"used for dysmenorrhea, muscle spasms, back pain, nervous tension, and sometimes asthma-related tension.",,mild drowsiness or gi upset. rare allergic responses.,Low,Not well established; safe in traditional doses,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5487595/;British Herbal Pharmacopoeia;Plants of the Gods – Rätsch
vinca-minor,,Vinca minor,cognitive / circulatory / alkaloid-based,Mild–Moderate,"europe, cultivated globally",Regulated or restricted in some regions due to alkaloid content,"a low-growing evergreen plant whose alkaloid-rich leaves are used for memory, focus, and circulatory enhancement. related to the nootropic vinpocetine.",Cognitive enhancement;Vasodilation;Memory support;Cerebral blood flow,"Contains vincamine, a vasodilatory alkaloid that improves cerebral blood flow. Vinpocetine, a semi-synthetic derivative, is used in neuroprotection studies.",,🧠 cognitive;💉 circulatory;🌿 nootropic;⚠️ alkaloid-based,"may interact with blood thinners, vasodilators, or antihypertensives.","avoid in hypotension, pregnancy, or with anticoagulants.",,"used for cognitive decline, tinnitus, dizziness, poor peripheral circulation, and memory support.",,"low blood pressure, headache, or gi upset possible. excess may cause hypotension or bradycardia.",Moderate (dose-dependent),"~75 mg/kg (rats, oral)",false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3966305/;Plants of the Gods – Rätsch;Journal of Ethnopharmacology
viola-odorata,Sweet Violet,Viola odorata,respiratory / nervine / floral sedative,Mild,"europe, western asia, north africa",Legal worldwide,"a fragrant violet flower traditionally used for respiratory and emotional conditions. offers calming, anti-inflammatory, and mucilaginous support, often in teas or syrups.",Soothing;Anti-inflammatory;Sleep support;Cough relief,"Contains salicylic acid derivatives, mucilage, and volatile oils. Gently modulates GABA and prostaglandins. Mild expectorant and anti-inflammatory activity.",Violine;Methyl salicylate,🌸 floral;🧘 nervine;🫁 respiratory;💤 calming,mild anticoagulant effects. may enhance other sedatives slightly.,none known in normal doses. use caution in salicylate-sensitive individuals.,,"used for sore throats, coughs, grief, insomnia, and skin irritation. can be taken internally or applied topically.",,mild; possible skin reaction or gi upset with large doses.,Very low,Not established (safe in folk medicine),false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7533724/;British Herbal Pharmacopoeia;Plants of the Gods – Rätsch
viola-odorata-sweet-violet,,Unknown,dissociative / sedative,Mild,🇪🇺 europe,Legal / Unregulated,fragrant violet whose flowers are a mild sedative and expectorant.,Mild sedative;calming;gentle dreaminess,Mild central sedative via salicylates and alkaloids; may influence serotonin and prostaglandin pathways.,,☕ brewable;✅ safe;🌀 dissociation;🧘 sedation,minimal; theoretically additive with cns depressants.,none known in normal amounts; avoid if allergic.,,"cough suppressant, mild anxiolytic, anti-inflammatory, gentle sleep aid.",1,very rare; may include mild drowsiness or nausea.,Regarded as very safe in traditional herbalism.,No human LD50 data; extremely low toxicity reported.,false,
viola-tricolor,,Viola tricolor,nervine / skin support / respiratory,Mild,"europe, naturalized elsewhere",Legal worldwide,"a small wildflower with colorful petals, known traditionally for emotional soothing ('heartsease'), as well as support for skin issues, respiratory inflammation, and mild nervous conditions.",Calming;Anti-inflammatory;Expectorant;Skin soothing,"Contains flavonoids, salicylates, and mucilage. Modulates inflammatory mediators and has demulcent, expectorant, and nervine effects.",,🌸 calming;🩹 skin support;🫁 expectorant;🧘 gentle,minimal; theoretical additive effect with anti-inflammatory or sedative herbs.,none known. considered very gentle.,,"used for eczema, cradle cap, dry cough, mild anxiety, and urinary inflammation. often included in spring tonics.",,very mild; large doses may cause stomach upset or diarrhea.,Very low,Not established; widely used in children,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7318715/;British Herbal Pharmacopoeia;Plants of the Gods – Rätsch
virola-spp,,,ethnobotanical / rare,High,🇲🇽 latin america,Restricted / Controlled,amazonian trees producing dmt-rich resins for shamanic snuffs.,DMT-containing tree resin,"Contains DMT, 5-MeO-DMT, and beta-carbolines; classic tryptamine entheogen profile.",,\u26a0\ufe0f restricted,"dangerous with ssris, maois, and other serotonergic substances.","mental health disorders, heart issues, maoi interactions.",,used in amazonian shamanic healing rituals; possible antidepressant potential.,1,"nausea, intense hallucinations, elevated heart rate.",Can be overwhelming; physical toxicity low but psychological risks high.,No established LD50 for DMT in humans; low systemic toxicity at typical doses.,false,
virola-spp,,Unknown,ethnobotanical / rare,High,🇲🇽 latin america,Restricted / Controlled,amazonian trees producing dmt-rich resins for shamanic snuffs.,DMT-containing tree resin,"Contains DMT, 5-MeO-DMT, and beta-carbolines; classic tryptamine entheogen profile.",,⚠️ restricted,"dangerous with ssris, maois, and other serotonergic substances.","mental health disorders, heart issues, maoi interactions.",,used in amazonian shamanic healing rituals; possible antidepressant potential.,,"nausea, intense hallucinations, elevated heart rate.",Can be overwhelming; physical toxicity low but psychological risks high.,No established LD50 for DMT in humans; low systemic toxicity at typical doses.,false,
virola-theiodora,Epena,Virola theiodora,ritual / visionary,Very strong,"amazon (brazil, venezuela)",DMT controlled in most countries,a snuff plant from the amazon containing dmt and 5-meo-dmt. used by yanomami and other tribes for potent visionary rituals.,Strong visuals;spiritual experiences;disorientation,DMT and 5-MeO-DMT – 5-HT2A agonists,DMT;5-MeO-DMT,⚠️ vision;🌬️ snuff;🧠 dmt,"maois, antidepressants","maois, mental health issues",,shamanic ritual; purging and vision work,,"nausea, tremors, vomiting","High psychological, moderate physical",Unknown,false,
virola-theiodora,Epena,Virola theiodora,ritual / visionary,Very strong,"amazon (brazil, venezuela)",DMT controlled in most countries,a snuff plant from the amazon containing dmt and 5-meo-dmt. used by yanomami and other tribes for potent visionary rituals.,Strong visuals;spiritual experiences;disorientation,DMT and 5-MeO-DMT – 5-HT2A agonists,DMT;5-MeO-DMT,⚠️ vision;🌬️ snuff;🧠 dmt,"maois, antidepressants","maois, mental health issues",,shamanic ritual; purging and vision work,,"nausea, tremors, vomiting","High psychological, moderate physical",Unknown,false,
viscum-album,,Viscum album,immunomodulator / nervine / traditional european,Moderate,"europe, western asia",Legal but regulated in some countries,"a sacred plant in ancient druidic and european traditions, mistletoe has been used both ritually and medicinally for nervous disorders, cancer support, and hypertension. often associated with peace and protection.",Immune regulation;Sedation;Nervous system balance;Blood pressure modulation,"Contains viscotoxins, lectins, and alkaloids that affect immune cells, induce apoptosis, and modulate autonomic nervous system activity. Used in anthroposophic cancer therapy.",,🎄 nervine;🛡️ immune;🌿 cancer therapy;⚠️ toxic dose window,may interfere with immunosuppressants or chemotherapeutics.,"avoid in pregnancy, active infection, or autoimmune conditions without supervision. toxic at high doses.",,"used for anxiety, epilepsy, hypertension, and integrative cancer care. noted for its calming and immune-balancing effects.",,"injection-site inflammation, allergic reactions, or flu-like symptoms possible. oral use milder but requires caution.",Moderate–high (dose-dependent),"~2.5 mg/kg (IV, mice – viscotoxins)",false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3201634/;European Medicines Agency;Plants of the Gods – Rätsch
vitex-agnus-castus,,Vitex agnus-castus,endocrine / hormonal / reproductive,Mild–Moderate,"mediterranean, western asia",Legal worldwide,"a mediterranean shrub used traditionally to balance female hormones, regulate menstrual cycles, and support fertility. also known as monk’s pepper due to its historical use in suppressing libido.",Hormone regulation;Menstrual cycle balancing;Mood support;Fertility enhancement,Acts on dopamine D2 receptors to modulate pituitary prolactin levels. Indirectly balances estrogen and progesterone.,,🩸 hormone balance;♀️ reproductive;🌿 fertility;🧘 pms relief,may interact with dopamine-related medications or hormone therapies.,"avoid during pregnancy, breastfeeding, or with hormone-sensitive conditions unless guided by a practitioner.",,"used for pms, breast tenderness, irregular menstruation, pcos, fertility support, and mild hormonal acne.",,"mild gi upset, headache, or rash. may alter menstrual cycle timing.",Low,Not well established; traditionally safe,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6275797/;British Herbal Compendium;Plants of the Gods – Rätsch
vitex-negundo,,Vitex negundo,anti-inflammatory / respiratory / analgesic,Mild–Moderate,"india, southeast asia",Legal worldwide,"a traditional ayurvedic and siddha herb used for joint pain, respiratory disorders, and menstrual issues. though related to vitex agnus-castus, its actions differ and it is widely used in south and southeast asia.",Pain relief;Anti-inflammatory;Respiratory support;Menstrual regulation,"Flavonoids, alkaloids, and iridoid glycosides modulate prostaglandins, inhibit COX enzymes, and relax bronchial muscles. Some dopaminergic modulation noted.",,🌿 ayurvedic;🔥 anti-inflammatory;🫁 respiratory;🧘 analgesic,may interact with nsaids or dopaminergic agents.,avoid during pregnancy unless prescribed. caution in liver conditions.,,"used for rheumatism, asthma, cough, sinusitis, fever, and gynecological conditions. also used topically for wounds and inflammation.",,well tolerated. high doses may cause mild stomach upset or dizziness.,Low,Not well established; considered safe in traditional doses,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6267229/;Indian Journal of Traditional Knowledge;Plants of the Gods – Rätsch
vitis-vinifera,,Vitis vinifera (seed),antioxidant / cardiovascular / nootropic adjunct,Mild–Moderate (non-psychoactive),"mediterranean, global cultivation",Legal worldwide,"extracted from the seeds of red grapes, this compound is rich in oligomeric proanthocyanidins (opcs) — potent antioxidants shown to support circulation, reduce inflammation, and protect cellular integrity.",Vascular support;Free radical scavenging;Skin protection;Cognitive enhancement (adjunct),"OPCs reduce oxidative stress, inhibit inflammatory enzymes (like COX-2), and strengthen collagen and capillaries. Also modulates nitric oxide and enhances endothelial function.",,🍇 antioxidant;🩸 circulation;🧠 brain support;🌿 nootropic ally,may enhance effect of blood thinners or antihypertensives.,caution in bleeding disorders or with anticoagulants.,,"used for varicose veins, cardiovascular protection, cognitive longevity, eye health, and skin aging. may help mitigate nootropic stimulant stress.",,"mild gi upset, headache, or dizziness possible. rare allergic responses.",Low,"~5000 mg/kg (rats, oral)",false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6164840/;Journal of Medicinal Food;European Medicines Agency
voacanga-africana,,Voacanga africana,ritual / visionary,Strong,west africa,Unscheduled; may be regulated for alkaloids,a powerful african plant containing voacangine and iboga alkaloids. used traditionally in ritual contexts and studied as a potential ibogaine precursor.,Stimulation;psychedelic effects;cardiovascular activation,"Voacangine is a prodrug to ibogaine (NMDA antagonist, serotonin transporter blocker)",,⚠️ caution;🌍 african;🧠 vision,"avoid all stimulants, antidepressants, maois","heart conditions, psychiatric disorders",,experimental use in addiction therapy (via ibogaine synthesis),,"vomiting, overstimulation, visual distortions",High in overdose; cardiotoxic potential,~90–120 mg/kg (est. voacangine),false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4181566/;Plants of the Gods – Rätsch;Voacanga africana: Ethnobotany and Chemistry – J Ethnopharmacol, 2014"
voacanga-africana,,Voacanga africana,ritual / visionary,Strong,west africa,Unscheduled; may be regulated for alkaloids,a powerful african plant containing voacangine and iboga alkaloids. used traditionally in ritual contexts and studied as a potential ibogaine precursor.,Stimulation;psychedelic effects;cardiovascular activation,"Voacangine is a prodrug to ibogaine (NMDA antagonist, serotonin transporter blocker)",,⚠️ caution;🌍 african;🧠 vision,"avoid all stimulants, antidepressants, maois","heart conditions, psychiatric disorders",,experimental use in addiction therapy (via ibogaine synthesis),,"vomiting, overstimulation, visual distortions",High in overdose; cardiotoxic potential,~90–120 mg/kg (est. voacangine),false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4181566/;Plants of the Gods – Rätsch;Voacanga africana: Ethnobotany and Chemistry – J Ethnopharmacol, 2014"
white-lily,,Nymphaea ampla,oneirogen,Mild,"mexico, central america",Legal,"related to blue lotus, this sacred flower from mesoamerican traditions is used to promote meditation and lucid dreaming.",Calm;light sedation;dream potentiation,Contains aporphine alkaloids (dopamine agonist),,✅ safe;🌸 calm;🌿 sedative,avoid cns depressants,pregnancy,,"relaxation, aphrodisiac, dream enhancement",,"drowsiness, vivid dreams",Low,Not established,false,
white-sage,,Unknown,ritual / visionary,Mild,🌐 global / ritual,Legal / Unregulated,aromatic sage revered for cleansing rituals and mental clarity.,Clarity;purification;spiritual reset,"1,8-Cineole and α-thujone inhibit pro-inflammatory cytokines (TNFα, IL-1β) and arachidonic acid metabolism; antimicrobial and antiviral effects via NF-κB inhibition [0, 19, 0, 4].",,✅ safe;🔮 ritual;🕯️ ritual;🧠 cognitive,none significant documented.,"asthma, pregnancy, respiratory disorders.",,"smudging rituals for purification, antimicrobial, respiratory support, mental clarity [0, 19].",1,"respiratory irritation, asthmatic exacerbation, headaches at high exposure [0, 19].","Very low; excessive inhalation may cause dizziness or nausea [0, 4].",Unknown,false,
Unknown,,Leonotis leonurus,relaxant / euphoric,Mild,southern africa,Legal,orange-flowered shrub also called lion’s tail; smoked traditionally for mild cannabis-like effects.,Mild euphoria;relaxation,Contains leonurine; may act on serotonin and cannabinoid receptors.,,🌿 smoke;🦁 dagga,may potentiate other sedatives,avoid during pregnancy or with heart conditions.,,"folk remedy for coughs, fever and as a mild psychoactive when smoked.",,"dry mouth, slight dizziness",Low; high doses may cause dizziness or nausea.,Not established,false,
withania-somnifera-ashwagandha,,Unknown,dissociative / sedative,Mild,🇮🇳 india,Legal / Unregulated,indian nightshade root that reduces stress hormones and promotes sleep.,Grounded calm;dream support,Modulates GABAergic and serotonergic activity; reduces cortisol; withanolides are primary active compounds.,,☕ brewable;✅ safe;🌀 dissociation;💊 oral;🧘 sedation,"immunosuppressants, sedatives, thyroid medications [0, 24].","pregnancy, hyperthyroidism, autoimmune diseases [0, 1].",,"adaptogen, anti-stress, anxiolytic, neuroprotective, anti-inflammatory, immune support [0, 1, 0, 17].",1,"gi upset, drowsiness, rare thyroid hormone changes [0, 9].","Low; well-tolerated in clinical studies [0, 1].","LD50 (rats, oral) ~4650 mg/kg; relatively low acute toxicity.",false,
wormwood,,Artemisia absinthium,oneirogen,Mild to moderate,"europe, asia, north america",Restricted in high-thujone formulations,"key ingredient in absinthe. contains thujone, which is a gaba_a antagonist and neurostimulant in high doses. historically used for dreaming, digestion, and ritual.",Lucid dreams;stimulating;mental clarity,Thujone – GABA_A receptor antagonist,,⚠️ caution;🌙 dream;🌿 bitter,"avoid alcohol, cns drugs","pregnancy, epilepsy, high doses",,"digestive tonic, dream work, antiparasitic",,"headache, nausea, tremors at high doses",Neurotoxic in large doses,~30 mg/kg (thujone),false,
xylopia-aethiopica,,Xylopia aethiopica,spice / respiratory / afro-caribbean traditional,Mild–Moderate,"west africa, caribbean",Legal worldwide,"a spicy fruit used in west african and caribbean cuisine and medicine. traditionally employed to treat respiratory and digestive issues, and as a warming tonic for colds and fatigue.",Warming;Decongestant;Digestive aid;Mild stimulant,"Contains volatile oils (e.g. eugenol, β-pinene) that have antimicrobial, warming, and stimulant actions. May stimulate mucous clearance and circulation.",,🌶️ spice;🌬️ decongestant;🌿 afro-caribbean;🫖 traditional tonic,minimal. may interact with stimulants or other warming agents.,avoid in pregnancy unless under traditional guidance due to uterine stimulant effect.,,"used for coughs, bronchitis, gas, malaria prevention, postpartum recovery, and flavoring food and medicine.",,in large doses may cause stomach irritation or overstimulation.,Low at culinary or traditional doses,Not well documented,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8736103/;Journal of Ethnopharmacology;Plants of the Gods – Rätsch
glaucium-flavum,,Glaucium flavum,other,Unknown,mediterranean,Varies,coastal poppy used occasionally for its glaucine content.,mild euphoria;sedation,"Contains glaucine, a bronchodilator acting on dopamine receptors",,🌀 visionary;💊 oral,cns depressants,pregnancy,10–20 mg glaucine,cough suppressant,,"dizziness, nausea",Moderate,>300 mg/kg (mice),false,
yerba-mat,,,none,unknown,unknown,Unknown,none,,"Contains caffeine, theobromine; acts as CNS stimulant by blocking adenosine receptors.",,none,"stimulants, maois, beta-blockers.","heart conditions, anxiety, pregnancy (high doses).",,"mental alertness, energy, antioxidant support.",,"insomnia, jitteriness, increased heart rate.",,Caffeine LD50 ~190 mg/kg (human est.).,false,
yopo,,Anadenanthera peregrina,ritual / visionary,Very strong,"south america (orinoco, amazon basin)",Controlled in many countries due to DMT content,"used in amazonian rituals, yopo seeds are ground and insufflated to induce powerful entheogenic experiences. contains bufotenine, dmt, and 5-meo-dmt.",Intense visions;altered time perception;spiritual insight,"5-HT2A receptor agonist (bufotenine, DMT, 5-MeO-DMT)",,⚠️ caution;🌬️ snuff;🧠 vision,avoid with antidepressants or maois,"asthma, mental health disorders, maois",,"shamanic healing, insight rituals",,"intense nausea, disorientation, respiratory irritation",High risk with improper use; bufotenine toxic at high dose,"50–80 mg/kg (bufotenine, mice)",false,
zanthoxylum-americanum,,Zanthoxylum americanum,analgesic / circulatory stimulant / traditional native american,Mild–Moderate,"north america (northern u.s., canada)",Legal worldwide,"northern relative of zanthoxylum clava-herculis, this species was widely used by native americans for toothaches, cold limbs, and digestion. like its southern cousin, it produces a numbing and buzzing sensation when chewed.",Tingling;Local analgesia;Salivation;Circulation boost,"Sanshools (alkylamides) modulate TRPV1 and TRPA1 channels on nerve endings, producing a buzzing, tingling analgesic effect. Also stimulates saliva and gastric secretions.",,🦷 oral care;🌿 native american;🫦 tingling;🔥 circulatory,minimal. theoretical interaction with oral analgesics or vasodilators.,avoid in broken oral tissue or wounds. caution with hot spices or ulcers.,,"used topically or chewed for oral pain, indigestion, sluggish circulation, or nerve support. historically used in decoctions or salves.",,local irritation or tingling. mild drooling or numbing. rare allergic reactions.,Low in traditional use,Not established,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144794/;Native American Ethnobotany – Moerman;Plants of the Gods – Rätsch
zanthoxylum-bungeanum,,Zanthoxylum bungeanum,digestive / circulatory / sensory-modulating,Mild–Moderate,"china, east asia",Legal worldwide,"used in chinese cuisine and medicine, sichuan pepper causes a tingling numbness and has been traditionally used to support digestion and stimulate circulation. its unique effect is due to hydroxy-alpha-sanshool.",Tingling sensation;Digestive stimulant;Mild analgesia;Circulation support,"Sanshools activate somatosensory ion channels (TRPA1, TRPV1) leading to a buzzing/tingling anesthetic effect. Also improves gastric secretions and peripheral blood flow.",,🌶️ tingling;🍽️ digestive;🩸 circulatory;🌿 culinary-medical,may alter absorption of other herbs or drugs via gi stimulation.,avoid in mucosal lesions or in large doses during pregnancy.,,"used to improve digestion, relieve stomach cramps, stimulate salivation, reduce cold extremities, and in topical pain blends.",,can cause intense tingling. overuse may irritate gi tract or cause local numbness.,Low,Not fully established; safe in culinary and moderate medicinal use,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452023/;Chinese Herbal Materia Medica;Journal of Ethnopharmacology
zanthoxylum-clava-herculis,Toothache Tree,Zanthoxylum clava-herculis,analgesic / stimulant,Mild,southeastern united states,Legal,also called the toothache tree; its bark creates a tingling numbness and light stimulation when chewed.,mouth numbness;mild stimulation;pain relief,Bark contains sanshools that cause paresthesia and stimulate trigeminal nerves,Pellitorine;Sanshools,north america;tingling;toothache tree,may interact with other numbing agents,mouth ulcers or sensitive gums,,native american remedy for toothaches and sore throats; also used as a tonic,,"tingling, salivation, mild stomach upset",Low in customary doses,Not established,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5656514/;Native American Ethnobotany – Moerman;Plants of the Gods – Rätsch
zea-mays-stigma,,Zea mays (stigma),diuretic / urinary tract / soothing,Mild,worldwide (where corn is cultivated),Legal worldwide,"the long threads of corn (called silk) are a gentle herbal remedy for urinary tract issues, swelling, and kidney function. used in teas for centuries in both native american and chinese traditions.",Urine flow increase;Soothing;Kidney support;Anti-inflammatory,"Contains flavonoids, saponins, and potassium that increase urine output, reduce inflammation, and soothe irritated tissues.",,🌾 kidney support;💧 diuretic;🫖 soothing;🌿 folk remedy,may enhance diuretics or alter potassium levels. mild blood pressure effects.,avoid with diuretic medications or in cases of severe kidney disease unless supervised.,,"used for utis, bladder inflammation, bedwetting, kidney stones, and fluid retention. also mildly calming.",,rare. may cause mild electrolyte loss or allergic reaction in corn-sensitive individuals.,Very low,Not established; extremely safe at traditional doses,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121893/;Plants of the Gods – Rätsch;Journal of Medicinal Plants Research, 2011"
zingiber-zerumbet,,Zingiber zerumbet,anti-inflammatory / aromatic / dermatological,Mild,"hawaii, southeast asia, pacific islands",Legal worldwide,"a tropical ginger species prized for its aromatic rhizomes and milky juice-filled cones used in traditional polynesian medicine and hair care. mildly relaxing and soothing, both internally and externally.",Skin and hair care;Topical anti-inflammatory;Digestive aid;Aromatic relaxant,"Zerumbone and essential oils contribute to anti-inflammatory, antioxidant, and antimicrobial effects. Soothes skin, modulates TRP channels, and supports digestion.",,🫧 hair care;🌿 soothing;🔥 anti-inflammatory;🌺 polynesian use,may mildly enhance absorption or circulation of co-administered compounds.,caution during pregnancy. not for chronic high-dose ingestion.,,"used topically for hair conditioning, inflammation, burns, and fungal issues. internally for nausea, digestive support, and respiratory infections.",,rare. may cause skin sensitivity in some. avoid in large oral doses without preparation.,Low,Not well established; traditionally regarded as safe,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8751302/;Hawaiian Ethnobotany – Beatrice Krauss;Plants of the Gods – Rätsch
ziziphus-jujuba,,Ziziphus jujuba,sedative / adaptogen / digestive,Mild,"china, middle east, mediterranean",Legal worldwide,"a traditional fruit in chinese and middle eastern medicine, jujube is used as a tonic, sleep aid, and digestive harmonizer. rich in antioxidants and calming saponins.",Sleep support;Stress reduction;Digestive regulation;Immune modulation,Jujubosides interact with GABA-A receptors and modulate cortisol. Flavonoids and triterpenes provide antioxidant and anti-inflammatory effects.,,🍎 tcm;💤 sleep;🛡️ immune;🌿 mild adaptogen,may enhance sedative or anxiolytic medications.,none major. caution in hypotensive patients due to mild sedative effects.,,"used for insomnia, anxiety, poor appetite, fatigue, and gastrointestinal upset. often included in tcm formulas like suan zao ren tang.",,rare; well tolerated. mild drowsiness or loose stool at high doses.,Low,Not well documented; safe in dietary and medicinal use,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6267325/;Journal of Ethnopharmacology;Chinese Herbal Medicine – Bensky & Gamble
ziziphus-spinosa,,Ziziphus spinosa,sedative / anxiolytic / traditional chinese medicine,Mild–Moderate,"china, korea, japan",Legal worldwide,"the seeds of this wild jujube are used in traditional chinese medicine (tcm) for calming the spirit and nourishing the heart. a key herb in formulas for insomnia and anxiety, including suan zao ren tang.",Sleep promotion;Anxiety relief;Dream regulation;Heart-calming,Jujubosides and flavonoids interact with GABA receptors and modulate neurotransmitters like serotonin and dopamine. Mildly hypnotic and anxiolytic.,,💤 sleep;🧘 calm;🌿 tcm;🌙 dream,"may enhance effects of sedatives, hypnotics, or anxiolytics.",caution in hypotension or concurrent sedative use.,,"used for insomnia, restlessness, palpitations, excessive dreaming, and mental fatigue.",,rare. large doses may cause mild gi upset or daytime drowsiness.,Low,Not well documented; safe in traditional use,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6163148/;Chinese Herbal Medicine – Bensky;Plants of the Gods – Rätsch
zornia-diphylla,,Zornia diphylla,calming / respiratory / psychoactive adjunct,Mild,"south america, caribbean",Legal in most regions,"a lesser-known south american herb with calming, slightly psychoactive properties. sometimes used similarly to zornia latifolia in herbal smoking blends and indigenous rituals.",Relaxation;Mild psychoactive;Cough soothing;Mood lifting,Likely contains flavonoids and volatile oils with CNS-depressant and bronchodilatory effects. Specific constituents under-studied.,,🌀 psychoactive-adjunct;🛌 calm;🫁 respiratory;🌿 ethnobotanical,may enhance effects of other cns depressants or respiratory herbs.,avoid use with strong sedatives or during pregnancy. limited safety data.,,"used for calming anxiety, promoting mild euphoria, relieving cough or bronchial irritation, and enhancing relaxation in blend formulas.",,very mild. may cause sedation or lightheadedness in large amounts.,Unknown but presumed low based on traditional use,Not established,false,https://erowid.org/herbs/zornia_diphylla/;Plants of the Gods – Rätsch;Amazonian Ethnobotany Archives
zornia-latifolia,,Zornia latifolia,psychoactive / calming / south american traditional,Mild–Moderate,"brazil, paraguay, south america",Legal in most regions,"known as 'false marijuana' in brazil, this south american herb produces a relaxing, slightly euphoric state when smoked or brewed. used traditionally in rituals and to aid sleep or meditation.",Mild euphoria;Mental calm;Lucid dreaming;Cannabinoid mimicry,"Flavonoids and potential endocannabinoid-modulating compounds interact with CB1/CB2 receptors, though exact active constituents remain under-researched.",,🌿 psychoactive;🛌 dream herb;🧘 relaxing;🌀 cannabis-like,theoretical synergy with gabaergic or cannabinoid-active compounds.,avoid mixing with alcohol or sedatives. not for use in pregnancy.,,"used for anxiety, insomnia, meditation enhancement, and as a legal cannabis substitute in some herbal blends.",,very mild; potential sedation or grogginess. high doses may cause dizziness.,Low,Not established,false,https://erowid.org/herbs/zornia_latifolia/;Plants of the Gods – Rätsch;Journal of Ethnopharmacology
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
